id;name;type;breeder;effects;ailment;flavor;location;thc;cbd;price
1;Alaskan Thunder Fuck;Sativa;Northern View Collective;Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious;Stress, Depression, Lack of Appetite, Pain;Earthy, Pine;Mt. Shasta, CA;1500;0;14
2;Berry White;Hybrid;Unknown Breeder;Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia;Berry, Sweet, Blueberry;Sherman Oaks, CA;1600;0;16
3;Blueberry;Hybrid;DJ Short;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Depression, Insomnia, Lack of Appetite;Blueberry, Sweet, Berry;Lakeside, CA;1600;0;16
4;Bubba Kush;Hybrid;Unknown Breeder;Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid;Pain, Stress, Insomnia, Depression, Lack of Appetite;Earthy, Sweet;Los Angeles, CA;1800;0;14
5;Bubba OG;Hybrid;Dr. Greenthumb Seeds;Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid;Stress, Pain, Depression, Insomnia, Nausea;Earthy, Sweet;Los Angeles, CA;1600;0;15
6;Chocolope;Sativa;WOSC;Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Earthy, Coffee, Sweet;Cypress, CA;1900;0;11
7;Diablo;Hybrid;Next Generation Seeds;Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid;Stress, Pain, Insomnia, Depression, Inflammation;Earthy;Los Angeles, CA;1700;0;11
8;Goo;Hybrid;Unknown Breeder;Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid;Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms;Berry, Sweet, Blueberry;Morongo Basin, CA;1300;0;10
9;Grape Ape;Hybrid;Apothecary Seed Company;Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious;Stress, Pain, Insomnia, Depression;Grape, Sweet, Berry;Richmond, CA;1600;0;12
10;Green Crack;Hybrid;Unknown Breeder;Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain;Citrus, Sweet, Earthy;Los Angeles, CA;1700;0;13
11;Harlequin;Hybrid;Unknown Breeder;Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious;Stress, Pain, Depression, Inflammation;Earthy, Sweet;San Juan Capistrano, CA;600;1000;16
12;Jack Herer;Hybrid;Sensi Seeds;Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain, Lack of Appetite;Earthy, Pine;Beckwourth, CA;1600;0;15
13;Jack the Ripper;Hybrid;TGA Seeds;Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain;Lemon, Citrus, Earthy;Lake Forest, CA;1100;0;12
14;Jupiter OG;Hybrid;Clone Queen;Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid;Insomnia, Pain, Stress, Depression, Nausea;Pine, Citrus;Pasadena, CA;1700;0;14
15;Kali Mist;Hybrid;Serious Seeds;Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid;Stress, Pain, Depression, Lack of Appetite, Muscle Spasms;Earthy, Sweet, Citrus;San Juan Capistrano, CA;1000;0;13
16;Kryptonite;Hybrid;Unknown Breeder;Relaxed, Happy, Tingly, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious;Pain, Stress, Insomnia, Depression;Sweet, Earthy, Pine;Chatsworth, CA;1600;0;13
17;LA Confidential;Hybrid;DNA Genetics;Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Depression;Earthy, Pine, Sweet;San Juan Capistrano, CA;1300;0;13
18;Lemon Haze;Hybrid;Flash Seeds;Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid;Stress, Depression, Pain, Lack of Appetite;Lemon, Citrus, Sweet;Richmond, CA;1800;0;11
19;Moby Dick;Hybrid;Dinafem Seeds;Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious;Stress, Depression, Pain;Citrus, Earthy, Sweet;Venice, CA;1100;0;15
20;Neptune OG;Hybrid;Unknown Breeder;Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious;Insomnia, Pain, Stress, Muscle Spasms, Nausea;Earthy;Southern California, CA;1100;0;10
21;Papaya;Hybrid;Nirvana;Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Pain, Insomnia, Inflammation;Sweet;Richmond, CA;1500;0;11
22;Pineapple Thai;Hybrid;Unknown Breeder;Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid;Pain, Muscle Spasms, Stress, Depression;Pineapple, Sweet;Richmond, CA;1300;0;16
23;Platinum Bubba Kush;Indica;Holistic Healing Collective;Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid;Pain, Stress, Insomnia, Depression, Inflammation;Earthy;Richmond, CA;1700;0;14
24;Platinum OG;Indica;The Bionosphere;Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious;Stress, Insomnia, Pain, Depression, Lack of Appetite;Earthy, Sweet;Morongo Basin, CA;1600;0;12
25;Pure OG;Indica;Jade Lotus Collective;Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid;Stress, Pain, Insomnia, Nausea, Inflammation;Earthy, Pine;Garden Grove, CA;1500;0;10
26;Purple Dragon;Indica;Purple Dragon Farms;Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious;Stress, Insomnia, Depression, Pain;Grape, Earthy, Sweet;Willow Creek, CA;1200;0;14
