id,name,weed_type,origin,price,photo_url,effects,ailment,flavor
1,Alaskan Thunder Fuck,Sativa,"Mt. Shasta, CA",11,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fproducts%2Fphotos%2FnUqXHp8QoGyPSCsS3Shw_ATF.JPG?ixlib=rails-4.0.0&w=490&h=&fit=crop&bg=FFFFFF&fm=jpg&q=80&s=5b3dc94e4672095e75b4db99466fad20,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine"
2,Berry White,Hybrid,"Sherman Oaks, CA",11,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fproducts%2Fphotos%2FovIdZIP9T6Gl2fk1nG3L_BerryWhiteFullFrame.jpg?ixlib=rails-4.0.0&w=490&h=490&fit=crop&bg=FFFFFF&fm=jpg&q=80&s=05ad4df7d33ae38f52d2d35ce3b4f880,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia","Berry, Sweet, Blueberry"
3,Blueberry,Hybrid,"Lakeside, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fblueberry.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=8a1e8775925941ee6d3f8fedc735bc32,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Blueberry, Sweet, Berry"
4,Bubba Kush,Hybrid,"Los Angeles, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fbubba-kush.png?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=24c18fbc3ecf996465f17b1adbaaeda4,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet"
5,Chocolope,Sativa,"Cypress, CA",13,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fo4MhnTW2QK2LicV68uiY_CHOCOLOPE-212-edited.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=c912c276a757edd437c7a83b58f04f8e,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Earthy, Coffee, Sweet"
6,Grape Ape,Hybrid,"Richmond, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fgrape-ape.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=068ff3639adb3bbef7ea831c50a09d95,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Depression","Grape, Sweet, Berry"
7,Green Crack,Hybrid,"Los Angeles, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fgreen-crack.png?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=b54c519c96483f5709bbbb4898734dd0,"Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain","Citrus, Sweet, Earthy"
8,Jack Herer,Hybrid,"Beckwourth, CA",17,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fjack-herer.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=7f3e14600432ca917a494fda0093362e,"Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Earthy, Pine"
9,Papaya,Hybrid,"Richmond, CA",13,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2FBWnS6paT7mvEG0e4WMHw_PAPAYA-370-edited.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=99986c62f0116aa502e958c92f512119,"Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Inflammation",Sweet
10,Pineapple Thai,Hybrid,"Richmond, CA",14,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-public.s3-us-west-2.amazonaws.com%2Fproducts%2Fphotos%2FYppoSKD6Qea2NecmbOlx_Pineapple+Thai.jpg?ixlib=rails-4.0.0&w=980&h=980&fit=crop&bg=FFFFFF&fm=jpg&q=80&s=1e1a827a5d985d04ba5572bcefe2ed51,"Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid","Pain, Muscle Spasms, Stress, Depression","Pineapple, Sweet"
11,Raspberry Kush,Hybrid,"Lake Forest, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fraspberry-kush.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=8727e75387eab752738e0cba5114852e,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms","Berry, Sweet"
12,Silver Haze,Hybrid,"Toluca Lake, CA",11,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fsuper-silver-haze.png?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=a3b2ea8c9b04f4cdc2484c91de2c9ba8,"Euphoric, Happy, Energetic, Uplifted, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain, Insomnia","Earthy, Sweet"
13,Strawberry Cough,Hybrid,"Lake Forest, CA",16,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fstrawberry-cough.png?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=b7863b81635bf81b5f2bc389d1f1548c,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Strawberry, Sweet, Berry"
14,Super Lemon Haze,Hybrid,"6150 White Oak Lane, CA",12,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Fsuper-lemon-haze.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=2f6b802ee2ae692a9ae80a2aaf3ec603,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Lemon, Citrus, Sweet"
15,True OG,Indica,"Corona, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2Ftrue-og.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=30602e40fbcabed2dcb6b3051b210b03,"Relaxed, Euphoric, Sleepy, Happy, Focused, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression","Earthy, Pine"
16,Papaya,Hybrid,"Richmond, CA",12,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fflower-images%2FBWnS6paT7mvEG0e4WMHw_PAPAYA-370-edited.jpg?w=440&h=440&auto=format&fit=crop&dpr=2&q=25&ixlib=js-2.2.1&s=99986c62f0116aa502e958c92f512119,"Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Inflammation",Sweet
17,Night Nurse,Hybrid,"Beckwourth, CA",10,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fproducts%2Fphotos%2FhNQDMdwdT3OyiQivlivJ_Screenshot+%2811%29.png?ixlib=rails-4.0.0&w=490&h=&fit=crop&bg=FFFFFF&fm=jpg&q=80&s=83d1e34b616bfbfe2d7f2b676f3e0cc0,"Relaxed, Sleepy, Happy, Tingly, Hungry, Dry Mouth","Pain, Insomnia, Stress, Muscle Spasms","Sweet, Earthy"
